year,time,temperature,precipitation
2019,January,1.129,34.546850156258564
2019,February,3.5620000000000003,-39.44916970433374
2019,March,3.0823333333333336,32.103277528884696
2019,April,2.2639999999999993,-49.52500858418222
2019,May,-1.1403333333333325,10.574443141852285
2019,June,4.429666666666668,-34.28931610463283
2019,July,1.961666666666666,-27.810244070127194
2019,August,2.5479999999999983,-18.393782383419694
2019,September,0.734,5.489832633702234
2019,October,1.7923333333333336,50.152302454757205
2019,November,1.1789999999999994,-11.232794132422395
2019,December,2.9256666666666664,-16.243293290916863
